,COMI,EAST,ABUK,HRHO,SWDY,TMGH,AMOC,ETEL
1/1/2014,0.03,0.1,0,0.3,-0.01,0.16,-0.01,0.01
2/1/2014,0.09,0.31,0.05,0.12,0.12,0.12,0.10,0.03
3/1/2014,-0.03,0.02,-0.03,-0.03,-0.05,-0.05,-0.01,0.11
4/1/2014,0.05,-0.02,-0.01,0.04,0.01,0.17,0.14,-0.12
5/1/2014,-0.04,-0.08,-0.01,0.06,-0.04,0.02,0.00,-0.08
6/1/2014,-0.01,-0.03,0.05,0.12,0.00,-0.07,0.05,-0.02
7/1/2014,0.18,0.13,0,0.02,0.11,0.10,0.00,0.00
8/1/2014,0.1,0,0.02,0.15,0.04,0.11,-0.04,0.07
9/1/2014,0.1,0.05,-0.01,0.03,0.25,0.10,0.01,-0.04
10/1/2014,-0.05,-0.03,-0.05,-0.1,-0.03,-0.08,-0.13,-0.01
11/1/2014,0.03,0,0.07,0.12,0.03,-0.04,0.00,0.05
12/1/2014,-0.01,0.25,-0.08,-0.18,-0.10,-0.03,-0.12,-0.16
1/1/2015,0.12,0,0,0.14,0.22,0.17,-0.08,0.02
2/1/2015,0,0.05,0,-0.11,-0.07,-0.07,0.01,-0.04
3/1/2015,0.02,-0.11,0,0.01,0.02,-0.02,-0.11,-0.04
4/1/2015,-0.02,-0.06,0,-0.1,-0.01,-0.04,-0.06,-0.12
5/1/2015,0.02,0.1,0,0.07,-0.02,-0.05,-0.02,-0.15
6/1/2015,0,0,0.02,-0.1,0.03,-0.07,-0.08,-0.04
7/1/2015,0,-0.01,0,-0.11,-0.03,-0.08,-0.10,-0.01
8/1/2015,-0.11,-0.06,-0.02,-0.2,-0.14,-0.10,-0.09,-0.13
9/1/2015,0.06,0.07,0,-0.06,0.07,-0.08,0.00,0.00
10/1/2015,0,-0.05,-0.12,0.12,-0.01,0.00,-0.13,-0.01
11/1/2015,-0.19,-0.13,0.06,-0.14,-0.21,-0.13,-0.14,-0.10
12/1/2015,0.11,-0.02,-0.05,0.14,0.08,0.10,-0.03,0.03
1/1/2016,-0.17,-0.13,-0.01,-0.19,-0.04,-0.21,-0.03,-0.05
2/1/2016,0.05,0.18,-0.1,-0.01,0.06,-0.05,-0.06,0.11
3/1/2016,0.15,0.08,-0.07,0.43,0.19,0.31,0.14,0.22
4/1/2016,0.18,-0.08,-0.03,-0.01,0.04,0.05,0.06,-0.05
5/1/2016,-0.06,0,-0.02,0.12,-0.06,-0.13,0.11,0.12
6/1/2016,-0.06,0,-0.01,-0.05,-0.02,-0.16,-0.04,-0.06
7/1/2016,0.19,0.04,0.03,0.21,0.02,0.12,0.22,0.13
8/1/2016,0.03,0.15,-0.01,-0.03,0.17,0.05,0.06,0.09
9/1/2016,-0.02,-0.04,0,0,-0.01,-0.06,0.05,-0.12
10/1/2016,0.08,0.01,-0.08,0.26,0.22,0.05,-0.01,-0.02
11/1/2016,0.33,0.37,-0.01,0.28,0.23,0.53,0.50,0.12
12/1/2016,0.06,-0.04,0.01,0.28,-0.04,0.05,0.24,0.19
1/1/2017,0.05,0.43,-0.08,-0.04,0.13,-0.07,0.11,0.05
2/1/2017,-0.06,0.01,0.1,-0.1,-0.07,-0.07,0.17,-0.09
3/1/2017,0.05,0.06,0.25,0.17,0.10,0.16,0.09,0.03
4/1/2017,-0.03,0.03,0.36,-0.08,-0.07,-0.13,-0.13,-0.13
5/1/2017,0.12,0.16,0.31,0.06,0.10,-0.04,0.04,0.05
6/1/2017,-0.03,0.1,0.07,-0.05,0.07,0.03,0.09,-0.02
7/1/2017,0.05,0.1,0,-0.08,-0.10,-0.04,0.00,0.08
8/1/2017,0,-0.06,-0.06,-0.08,0.05,0.01,0.02,0.15
9/1/2017,-0.03,0.03,0.16,0.07,0.18,0.19,0.14,0.01
10/1/2017,-0.03,0.06,-0.01,0.06,0.09,0.05,0.11,0.01
11/1/2017,-0.04,0.2,0.09,0.04,0.19,0.04,0.01,0.04
12/1/2017,0.03,0.18,0.09,-0.03,0.09,-0.02,0.05,-0.01
1/1/2018,0.01,0.03,0.39,-0.13,0.06,-0.02,0.05,-0.01
2/1/2018,-0.01,0.19,0.2,0.08,-0.01,0.03,-0.07,-0.09
3/1/2018,0.15,0.08,-0.11,0.16,0.40,0.16,0.13,0.02
