,10y-Treasury Bond Yield
1/1/2000,6.662
2/1/2000,6.409
3/1/2000,6.002
4/1/2000,6.218
5/1/2000,6.285
6/1/2000,6.027
7/1/2000,6.04
8/1/2000,5.729
9/1/2000,5.808
10/1/2000,5.761
11/1/2000,5.478
12/1/2000,5.112
1/1/2001,5.112
2/1/2001,4.904
3/1/2001,4.915
4/1/2001,5.336
5/1/2001,5.385
6/1/2001,5.404
7/1/2001,5.055
8/1/2001,4.84
9/1/2001,4.59
10/1/2001,4.244
11/1/2001,4.754
12/1/2001,5.029
1/1/2002,5.046
2/1/2002,4.874
3/1/2002,5.406
4/1/2002,5.089
5/1/2002,5.045
6/1/2002,4.809
7/1/2002,4.459
8/1/2002,4.13
9/1/2002,3.6
10/1/2002,3.895
11/1/2002,4.211
12/1/2002,3.818
1/1/2003,3.966
2/1/2003,3.692
3/1/2003,3.802
4/1/2003,3.84
5/1/2003,3.373
6/1/2003,3.516
7/1/2003,4.41
8/1/2003,4.47
9/1/2003,3.94
10/1/2003,4.297
11/1/2003,4.334
12/1/2003,4.253
1/1/2004,4.134
2/1/2004,3.972
3/1/2004,3.837
4/1/2004,4.51
5/1/2004,4.665
6/1/2004,4.583
7/1/2004,4.491
8/1/2004,4.24
9/1/2004,4.123
10/1/2004,4.029
11/1/2004,4.355
12/1/2004,4.222
1/1/2005,4.132
2/1/2005,4.381
3/1/2005,4.488
4/1/2005,4.2
5/1/2005,3.987
6/1/2005,3.921
7/1/2005,4.282
8/1/2005,4.014
9/1/2005,4.332
10/1/2005,4.557
11/1/2005,4.49
12/1/2005,4.395
1/1/2006,4.519
2/1/2006,4.557
3/1/2006,4.853
4/1/2006,5.057
5/1/2006,5.123
6/1/2006,5.145
7/1/2006,4.988
8/1/2006,4.732
9/1/2006,4.633
10/1/2006,4.604
11/1/2006,4.462
12/1/2006,4.7
1/1/2007,4.814
2/1/2007,4.577
3/1/2007,4.648
4/1/2007,4.628
5/1/2007,4.892
6/1/2007,5.027
7/1/2007,4.733
8/1/2007,4.527
9/1/2007,4.594
10/1/2007,4.473
11/1/2007,3.949
12/1/2007,4.035
1/1/2008,3.597
2/1/2008,3.519
3/1/2008,3.421
4/1/2008,3.734
5/1/2008,4.067
6/1/2008,3.975
7/1/2008,3.958
8/1/2008,3.825
9/1/2008,3.829
10/1/2008,3.97
11/1/2008,2.92
12/1/2008,2.22
1/1/2009,2.851
2/1/2009,3.021
3/1/2009,2.668
4/1/2009,3.119
5/1/2009,3.461
6/1/2009,3.537
7/1/2009,3.482
8/1/2009,3.401
9/1/2009,3.305
10/1/2009,3.388
11/1/2009,3.198
12/1/2009,3.837
1/1/2010,3.588
2/1/2010,3.619
3/1/2010,3.833
4/1/2010,3.659
5/1/2010,3.303
6/1/2010,2.935
7/1/2010,2.905
8/1/2010,2.47
9/1/2010,2.512
10/1/2010,2.603
11/1/2010,2.797
12/1/2010,3.288
1/1/2011,3.374
2/1/2011,3.422
3/1/2011,3.47
4/1/2011,3.29
5/1/2011,3.059
6/1/2011,3.16
7/1/2011,2.793
8/1/2011,2.234
9/1/2011,1.917
10/1/2011,2.116
11/1/2011,2.072
12/1/2011,1.876
1/1/2012,1.795
2/1/2012,1.974
3/1/2012,2.214
4/1/2012,1.919
5/1/2012,1.563
6/1/2012,1.643
7/1/2012,1.47
8/1/2012,1.548
9/1/2012,1.633
10/1/2012,1.694
11/1/2012,1.616
12/1/2012,1.757
1/1/2013,1.985
2/1/2013,1.881
3/1/2013,1.852
4/1/2013,1.673
5/1/2013,2.132
6/1/2013,2.487
7/1/2013,2.588
8/1/2013,2.789
9/1/2013,2.615
10/1/2013,2.552
11/1/2013,2.746
12/1/2013,3.026
1/1/2014,2.644
2/1/2014,2.649
3/1/2014,2.719
4/1/2014,2.646
5/1/2014,2.475
6/1/2014,2.532
7/1/2014,2.562
8/1/2014,2.345
9/1/2014,2.495
10/1/2014,2.335
11/1/2014,2.173
12/1/2014,2.17
1/1/2015,1.639
2/1/2015,1.997
3/1/2015,1.927
4/1/2015,2.035
5/1/2015,2.123
6/1/2015,2.349
7/1/2015,2.187
8/1/2015,2.214
9/1/2015,2.035
10/1/2015,2.146
11/1/2015,2.208
12/1/2015,2.269
1/1/2016,1.923
2/1/2016,1.738
3/1/2016,1.77
4/1/2016,1.835
5/1/2016,1.851
6/1/2016,1.475
7/1/2016,1.45
8/1/2016,1.578
9/1/2016,1.598
10/1/2016,1.826
11/1/2016,2.39
12/1/2016,2.446
1/1/2017,2.466
2/1/2017,2.397
3/1/2017,2.389
4/1/2017,2.289
5/1/2017,2.206
6/1/2017,2.304
7/1/2017,2.296
8/1/2017,2.121
9/1/2017,2.339
10/1/2017,2.378
11/1/2017,2.415
12/1/2017,2.405
1/1/2018,2.713
2/1/2018,2.864
3/1/2018,2.741
4/1/2018,2.955
5/1/2018,2.86
6/1/2018,2.86
7/1/2018,2.962
8/1/2018,2.86
9/1/2018,3.065
10/1/2018,3.149
11/1/2018,2.993
12/1/2018,2.686
1/1/2019,2.633
2/1/2019,2.717
3/1/2019,2.407
4/1/2019,2.504
5/1/2019,2.133
6/1/2019,2.007
7/1/2019,2.007
8/1/2019,1.499
9/1/2019,1.668
10/1/2019,1.688
11/1/2019,1.774
12/1/2019,1.919
1/1/2020,1.505
2/1/2020,1.163
3/1/2020,0.668
4/1/2020,0.646
5/1/2020,0.653
6/1/2020,0.658
7/1/2020,0.533
8/1/2020,0.706
9/1/2020,0.686
10/1/2020,0.874
11/1/2020,0.842
12/1/2020,0.916
1/1/2021,1.071
2/1/2021,1.407
3/1/2021,1.744
4/1/2021,1.626
5/1/2021,1.581
6/1/2021,1.468
7/1/2021,1.226
8/1/2021,1.307
9/1/2021,1.492
10/1/2021,1.561
11/1/2021,1.456
12/1/2021,1.512
1/1/2022,1.784
2/1/2022,1.822
3/1/2022,2.345
4/1/2022,2.938
5/1/2022,2.849
6/1/2022,3.017
7/1/2022,2.658
8/1/2022,3.196
9/1/2022,3.829
10/1/2022,4.05
11/1/2022,3.611
12/1/2022,3.879
1/1/2023,3.51
2/1/2023,3.928
3/1/2023,3.473
4/1/2023,3.433
5/1/2023,3.646
6/1/2023,3.841
7/1/2023,3.967
8/1/2023,4.106
9/1/2023,4.579
10/1/2023,4.926
11/1/2023,4.33
12/1/2023,3.866
